Index,Price_1,Price_2,Price_3,Price_4,Price_5
269,988.2,1019.8,1050.0,994.2,1017.6
270,984.2,1020.3,1054.0,998.0,1016.6
271,984.0,1016.8,1050.3,998.0,1021.6
272,988.0,1019.8,1049.3,999.0,1022.6
273,988.7,1020.6,1049.3,999.4,1023.6
274,989.7,1021.6,1052.4,1000.4,1024.6
275,985.9,1022.6,1053.4,1001.4,1020.1
276,984.9,1019.0,1048.4,997.7,1019.1
277,983.9,1018.0,1053.5,997.5,1018.4
278,983.3,1021.5,1049.5,997.5,1017.4
279,983.2,1022.4,1053.5,1000.5,1016.4
280,983.2,1018.4,1053.5,1001.5,1015.4
281,986.2,1022.4,1054.5,998.2,1014.4
282,987.2,1022.6,1055.5,997.8,1022.4
283,987.2,1018.6,1056.5,997.0,1013.6
284,983.7,1022.8,1057.5,997.0,1017.6
285,987.2,1019.5,1058.5,996.5,1014.3
286,987.4,1023.2,1059.5,995.5,1013.8
287,988.4,1024.0,1060.2,994.5,1012.8
288,988.6,1025.0,1056.2,1000.5,1011.8
289,989.6,1021.5,1055.6,999.2,1014.8
290,984.6,1021.5,1059.6,999.2,1010.8
291,989.4,1020.5,1059.6,1000.2,1010.6
292,985.5,1019.5,1059.6,1001.2,1014.4
293,985.5,1018.7,1060.6,1002.2,1015.4
294,984.5,1017.7,1057.1,1002.8,1011.6
295,983.5,1017.7,1060.8,998.8,1015.5
296,982.5,1016.7,1060.8,997.8,1011.5
297,985.9,1015.9,1061.0,996.8,1010.5
298,981.9,1019.6,1061.0,995.8,1009.5
299,985.6,1019.8,1062.0,994.8,1008.5
300,981.7,1019.8,1063.0,993.8,1007.5
301,980.7,1020.8,1064.0,992.8,1007.7
302,980.2,1021.8,1065.0,991.8,1006.7
303,980.2,1022.3,1066.0,990.8,1005.7
304,979.2,1022.3,1067.0,989.8,1004.7
305,978.2,1023.3,1068.0,988.8,1003.7
306,977.2,1023.4,1064.7,987.8,1002.7
307,980.8,1019.4,1068.7,986.8,1002.3
308,976.8,1023.9,1068.4,985.8,1005.8
309,981.1,1024.4,1069.4,984.8,1006.2
310,982.1,1025.4,1069.4,983.8,1002.2
311,982.6,1021.6,1070.4,982.8,1001.2
312,978.6,1021.6,1070.8,981.8,1005.4
313,977.6,1020.6,1066.8,981.0,1006.4
314,978.0,1019.6,1066.8,980.0,1006.4
315,982.0,1018.6,1065.8,979.0,1007.4
316,978.2,1017.6,1064.8,978.0,1007.4
317,978.2,1016.6,1063.8,977.0,1004.4
318,977.2,1020.0,1062.8,976.0,1004.4
319,980.5,1020.4,1061.8,975.0,1003.4
320,981.5,1020.4,1060.8,974.0,1002.4
321,981.5,1017.4,1059.8,973.0,1001.6
322,982.5,1021.4,1058.8,972.0,1000.6
323,982.6,1017.2,1062.4,972.0,1000.0
324,978.6,1016.8,1058.4,971.0,1004.0
325,983.0,1019.8,1058.4,970.0,1004.5
326,983.4,1020.8,1057.4,969.0,1005.0
327,984.4,1020.8,1056.9,968.0,1005.0
328,981.2,1021.5,1055.9,967.0,1006.0
329,980.2,1017.8,1055.9,966.0,1007.0
330,985.2,1021.4,1059.8,965.0,1008.0
331,983.8,1017.5,1060.8,964.0,1009.0
332,984.8,1016.9,1055.8,963.0,1004.0
333,985.8,1016.8,1060.6,966.8,1003.0
